"","pos_XY","posX","posY","orientation","rounded_orient","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90"
"19-3","19-3",19,3,0.3,0,-56.0876993166287,-57.6662068965517,-50.0934579439252,-61.1086956521739,-55.3915900131406,-74.7271468144044
"19-7","19-7",19,7,359.3,0,-52.7193181818182,-60.4596026490066,-57.9038189533239,-57.3921568627451,-49.9632653061225,-72.5906666666667
"19-8","19-8",19,8,359.9,0,-52.9965792474344,-58.6063829787234,-55.7333333333333,-60.467362924282,-50.1481994459834,-72.492816091954
"2-0","2-0",2,0,0.3,0,-55.6118047673099,-64.0822942643392,-66.1137026239067,-33.8878048780488,-66.6549789621318,-59.3277777777778
"2-1","2-1",2,1,0.2,0,-54.1761363636364,-63.8652392947103,-63.6988636363636,-39.1802469135802,-61.5702127659575,-53.3324742268041
"2-10","2-10",2,10,0.4,0,-51.7968217934166,-65.4143033292232,-66.1869565217391,-44.8531994981179,-64.7042459736457,-49.8802469135802
"2-11","2-11",2,11,0.5,0,-54.5034013605442,-68.0596330275229,-69.3323983169705,-46.5930680359435,-67.4675862068966,-44.9277708592777
"2-12","2-12",2,12,0.2,0,-55.3356086461889,-67.9142857142857,-71.3596730245232,-46.8686868686869,-67.5642458100559,-47.0478527607362
"2-13","2-13",2,13,359.9,0,-56.285062713797,-68.1277777777778,-73.0037406483791,-46.3196004993758,-69.3691460055096,-43.5936708860759
"2-2","2-2",2,2,359.9,0,-51.2863636363636,-64.1597869507324,-61.4249291784703,-39.758282208589,-64.6541143654114,-51.5891677675033
"2-3","2-3",2,3,0.1,0,-54.9078498293515,-62.8912188728702,-59.3201133144476,-41.1992665036675,-60.881051175657,-54.7189119170984
"2-4","2-4",2,4,0,0,-55.0057273768614,-61.5060240963855,-59.944365192582,-42.5245283018868,-60.2855133614627,-54.0687418936446
"2-5","2-5",2,5,0.4,0,-52.254835039818,-65.4350132625995,-64.4438040345821,-46.374531835206,-61.5832106038292,-57.3195187165775
"2-6","2-6",2,6,0.6,0,-51.6636363636364,-65.9037138927098,-62.2196452933151,-44.040404040404,-60.5660112359551,-52.9082802547771
"2-7","2-7",2,7,0.4,0,-51.3163265306122,-66.4226666666667,-64.2085106382979,-46.851282051282,-52.7481910274964,-55.0651289009498
"2-8","2-8",2,8,0.2,0,-51.8397727272727,-64.9244505494506,-62.3526011560694,-49.4861111111111,-54.655737704918,-51.2465233881163
"2-9","2-9",2,9,0.9,0,-52.9293044469783,-65.4964028776978,-67.926273458445,-48.3538461538462,-63.7553041018388,-50.9529411764706
"20-3","20-3",20,3,359.5,0,-57.3318129988597,-58.5275167785235,-49.8520547945205,-62.0787401574803,-54.9121171770972,-75.512676056338
"20-7","20-7",20,7,1.5,0,-54.6921322690992,-60.9093264248705,-55.4881118881119,-62.0500676589986,-48.1619812583668,-72.6810228802153
"20-8","20-8",20,8,1.5,0,-53.5159090909091,-59.1177266576455,-54.491452991453,-63.6494023904382,-49.019257221458,-72.8374816983895
"21-3","21-3",21,3,0.1,0,-58.8873720136519,-60.9219380888291,-48.6666666666667,-62.4571045576408,-54.3885267275098,-76.1781376518219
"21-4","21-4",21,4,0.3,0,-57.8187001140251,-62.5927367055772,-49.9243807040417,-65.7531328320802,-51.5994962216625,-77.228490832158
"21-5","21-5",21,5,0.3,0,-59.0079635949943,-61.4941634241245,-50.3542234332425,-67.0665813060179,-50.5019973368842,-78.0687830687831
"21-6","21-6",21,6,0,0,-58.1376564277588,-63.6723684210526,-52.5746367239102,-66.6376623376623,-44.1270053475936,-76.6355555555556
"21-7","21-7",21,7,359.9,0,-56.3590909090909,-63.9235511713933,-55.1466666666667,-62.8355828220859,-46.8015364916773,-70.7270306258322
"21-8","21-8",21,8,359.9,0,-53.4556818181818,-62.710875331565,-55.7456953642384,-62.1275510204082,-49.3108665749656,-72.489010989011
"22-3","22-3",22,3,0.5,0,-59.2152619589977,-60.6830892143808,-50.0594451783355,-61.0956749672346,-53.3580080753701,-74.9752407152682
"22-4","22-4",22,4,0,0,-58.3797035347777,-60.8194070080863,-49.6206896551724,-62.7432605905006,-52.3727959697733,-77.3292349726776
"22-5","22-5",22,5,359.7,0,-57.1204545454545,-60.0571827057183,-50.7701453104359,-66.8183023872679,-49.0096153846154,-77.4184397163121
"22-6","22-6",22,6,359.9,0,-58.8179749715586,-61.4575163398693,-53.5052219321149,-66.7242268041237,-47.0921228304406,-76.2024456521739
"22-7","22-7",22,7,0.2,0,-55.8081725312145,-65.2173913043478,-54.0352303523035,-63.1753246753247,-46.2106666666667,-71.3487394957983
"22-8","22-8",22,8,0,0,-57.0761363636364,-65.1527027027027,-56.1521164021164,-65.5115384615385,-47.8861454046639,-72.9033149171271
"23-3","23-3",23,3,0.5,0,-57.5897727272727,-61.7989487516426,-48.08310626703,-64.9351851851852,-52.3594594594595,-77.1525885558583
"23-4","23-4",23,4,359.9,0,-57.5444191343964,-61.0866666666667,-51.5377604166667,-63.7275031685678,-52.9857512953368,-77.009628610729
"23-5","23-5",23,5,359.8,0,-57.9783105022831,-61.3975741239892,-53.1166219839142,-65.50576184379,-49.8994910941476,-78.8475524475524
"23-6","23-6",23,6,359.9,0,-58.5290102389079,-63.1151832460733,-55.1111111111111,-64.69140625,-47.7565789473684,-74.7235543018336
"23-7","23-7",23,7,359.6,0,-56.6780432309443,-61.6010638297872,-54.2775510204082,-61.3638676844784,-47.4098573281453,-75.2759103641457
"23-8","23-8",23,8,0.1,0,-55.8496583143508,-61.8511821974965,-54.5321336760925,-61.7972116603295,-46.4234354194407,-71.9239598278336
"24-3","24-3",24,3,359.9,0,-56.5159090909091,-61.7916666666667,-48.9140518417463,-62.8036890645586,-55.4450331125828,-77.1727891156463
"24-4","24-4",24,4,359.8,0,-58.6993166287016,-61.3537859007833,-51.4317880794702,-64.4757033248082,-51.4118438761777,-75.3074829931973
"24-5","24-5",24,5,0.1,0,-59.8122866894198,-60.7473684210526,-54.0081632653061,-64.4140914709518,-52.2545219638243,-75.9723374827109
"24-6","24-6",24,6,0.3,0,-59.0820980615735,-62.7162673392182,-50.3315649867374,-64.3002577319588,-51.6348773841962,-76.6741573033708
"24-7","24-7",24,7,0.3,0,-57.8734321550741,-60.9920424403183,-55.0737812911726,-65.1347708894879,-49.0648148148148,-72.8754813863928
"24-8","24-8",24,8,0,0,-56.7155858930603,-64.7178526841448,-55.6757493188011,-63.5433673469388,-44.9050802139037,-76.4255639097744
"25-3","25-3",25,3,0,0,-60.6549773755656,-63.1476964769648,-51.023746701847,-63.1353887399464,-52.0510471204189,-77.0083798882682
"25-4","25-4",25,4,0.1,0,-58.5455580865604,-61.2310704960836,-49.3648468708389,-64.8700636942675,-53.116036505867,-78.1727019498607
"25-7","25-7",25,7,0.3,0,-56.7545454545455,-62.6130319148936,-54.9683377308707,-65.9892904953146,-50.082119205298,-77.3781388478582
"25-8","25-8",25,8,0.6,0,-56.3826879271071,-64.2998696219035,-55.0039787798408,-64.8313397129187,-49.2153846153846,-76.4506627393225
"26-3","26-3",26,3,359.8,0,-57.6073059360731,-60.2635135135135,-49.5576662143826,-63.4157894736842,-50.5631443298969,-76.8980716253444
"26-4","26-4",26,4,359.8,0,-58.1160409556314,-64.6130268199234,-50.2385321100917,-63.0497448979592,-51.2684824902724,-75.5898161244696
"26-5","26-5",26,5,0.4,0,-58.8920454545455,-60.4193971166448,-53.0173796791444,-65.49609375,-48.9653333333333,-76.7445355191257
"26-6","26-6",26,6,0.4,0,-57.6234357224118,-64.1825293350717,-54.2262382864793,-65.4065359477124,-52.0524193548387,-76.2265734265734
"26-7","26-7",26,7,0.5,0,-56.8522727272727,-63.6220159151194,-53.7751004016064,-66.697270471464,-48.1831955922865,-74.0731707317073
"26-8","26-8",26,8,0.1,0,-58.9111617312073,-62.6394736842105,-52.2896461336828,-64.2041312272175,-44.5848563968668,-76.8242424242424
"27-3","27-3",27,3,0.2,0,-58.8181818181818,-61.2219215155616,-44.8671140939597,-64.4461538461538,-48.6282051282051,-78.8964577656676
"27-7","27-7",27,7,0.1,0,-54.0603644646925,-63.8498074454429,-53.3166885676741,-64.7553058676654,-43.3802435723951,-74.1947873799726
"27-8","27-8",27,8,0.2,0,-56.3071672354949,-65.6978776529338,-51.7936507936508,-68.1144343302991,-43.8146214099217,-76.3825597749648
"28-3","28-3",28,3,0.4,0,-60.3977272727273,-63.882276843467,-45.1855807743658,-62.2870619946092,-49.9014267185473,-79.7916666666667
"28-7","28-7",28,7,0.6,0,-58.9920364050057,-64.7558441558442,-49.6385224274406,-66.0473300970874,-42.4122236671001,-77.1133879781421
"28-8","28-8",28,8,0,0,-56.9340909090909,-67.1564039408867,-51.3179347826087,-66.3228758169935,-44.1701846965699,-76.1542857142857
"29-3","29-3",29,3,0.5,0,-60.6092865232163,-65.1421254801537,-45.2298387096774,-64.8732026143791,-51.44327176781,-74.0309423347398
"29-7","29-7",29,7,0.7,0,-54.9580022701476,-67.7883870967742,-51.2068493150685,-67.3751507840772,-43.8726790450928,-77.9086956521739
"29-8","29-8",29,8,0.2,0,-56.8234624145786,-63.1259640102828,-50.0054421768708,-66.0568475452196,-45.4815286624204,-77.3190013869626
"3-3","3-3",3,3,0.3,0,-50.9247434435576,-58.3053333333333,-58.1538461538462,-48.3794326241135,-61.663829787234,-57.3110236220472
"3-7","3-7",3,7,1.2,0,-50.7813211845102,-62.8454545454545,-62.5253256150507,-46.8730158730159,-52.7107438016529,-53.0921052631579
"3-8","3-8",3,8,358.3,0,-50.5711035267349,-65.5433673469388,-62.3692528735632,-49.8592677345538,-57.6887052341598,-54.5619524405507
"30-3","30-3",30,3,0.7,0,-60.7517006802721,-65.6598465473146,-45.4705075445816,-64.4178343949045,-45.9691516709512,-77.6429587482219
"30-7","30-7",30,7,0,0,-57.2175398633257,-65.3949367088608,-47.7554347826087,-67.273631840796,-41.780585106383,-78.7521613832853
"30-8","30-8",30,8,0.3,0,-56.8329545454545,-64.6977950713359,-50.2127659574468,-66.6038647342995,-41.3254281949934,-77.9821182943604
"31-3","31-3",31,3,0.3,0,-59.7511363636364,-67.6439588688946,-43.4852150537634,-62.8236040609137,-42.8860589812332,-80.3085880640466
"31-7","31-7",31,7,0.4,0,-57.3234624145786,-66.8821989528796,-44.2940360610264,-68.4087968952135,-42.7420178799489,-77.6471371504661
"31-8","31-8",31,8,0.4,0,-56.6734926052332,-66.6827757125155,-45.5382585751979,-69.0301568154403,-42.5139072847682,-79.4731494920174
"32-3","32-3",32,3,0,0,-61.1477272727273,-67.5417185554172,-41.3155737704918,-65.7765151515152,-44.6933701657459,-79.6098901098901
"32-4","32-4",32,4,0.5,0,-62.7323462414579,-68.0109756097561,-41.4858299595142,-68.9974093264249,-43.6224627875507,-78.1867388362652
"32-5","32-5",32,5,359.7,0,-64.7442922374429,-70.3534482758621,-43.4265091863517,-69.2215346534653,-41.7450199203187,-78.9959072305593
"32-6","32-6",32,6,0.2,0,-63.3261363636364,-69.7049180327869,-48.2782051282051,-71.5707070707071,-45.5568783068783,-81.1664355062413
"32-7","32-7",32,7,0,0,-58.4846416382253,-63.0091145833333,-44.5903771131339,-64.5147928994083,-41.8647959183673,-76.442119944212
"32-8","32-8",32,8,0.6,0,-56.675,-68.7006060606061,-45.2583547557841,-68.1014492753623,-39.8929032258064,-79.6531468531469
"33-3","33-3",33,3,359.9,0,-60.8919226393629,-66.7375690607735,-41.9761589403974,-65.7460526315789,-51.4806408544726,-79.3536067892503
"33-4","33-4",33,4,359.8,0,-60.0685714285714,-67.77633289987,-44.3992146596859,-66.1596306068602,-45.4047954866008,-81.8828229027963
"33-7","33-7",33,7,0.5,0,-55.5818181818182,-67.5668316831683,-46.0582781456954,-69.1822600243013,-37.6985583224115,-75.0759668508287
"33-8","33-8",33,8,0.3,0,-54.9817351598174,-69.1626016260163,-46.9397905759162,-67.1015037593985,-35.8979591836735,-78.6417112299465
"4-3","4-3",4,3,180.4,180,-49.3205574912892,-59.704280155642,-56.463976945245,-51.0451030927835,-59.441958041958,-58.6007751937984
"4-7","4-7",4,7,359.9,0,-50.4259681093394,-60.9323797139142,-62.7258953168044,-51.2887077997672,-52.3353293413174,-54.8186462324393
"4-8","4-8",4,8,359.6,0,-48.0511945392491,-62.9206989247312,-60.8675213675214,-49.2131519274376,-57.2820163487738,-57.173001310616
"5-3","5-3",5,3,359.9,0,-48.3799772468714,-57.6027586206897,-55.4879032258064,-50.7722646310433,-57.3739255014327,-63.1727395411606
"5-7","5-7",5,7,1.5,0,-46.6575654152446,-59.2452316076294,-61.6116788321168,-51.616,-48.8875171467764,-60.1130319148936
"5-8","5-8",5,8,0.8,0,-46.2068181818182,-61.2752179327522,-61.1633802816901,-54.3232810615199,-55.6922005571031,-59.3125
"6-3","6-3",6,3,0.2,0,-47.6659116647792,-56.8642297650131,-55.4535519125683,-53.072590738423,-56.7693389592124,-61.5419440745672
"6-7","6-7",6,7,2,0,-45.9625850340136,-59.9707520891365,-62.5539772727273,-52.6716589861751,-52.3851444291609,-60.8274967574578
"6-8","6-8",6,8,0.1,0,-47.0958904109589,-59.2041343669251,-60.864406779661,-53.9398496240602,-55.4863701578192,-62.4350736278447
"7-3","7-3",7,3,359.7,0,-45.6006825938567,-55.6315086782377,-55.1394025604552,-54.9509677419355,-57.3601694915254,-62.4849726775956
"7-7","7-7",7,7,1.5,0,-44.750569476082,-58.6284953395473,-61.2090784044017,-55.5852534562212,-53.9903978052126,-63.2473544973545
"7-8","7-8",7,8,0.3,0,-47.7763904653803,-56.5416098226467,-60.4587412587413,-53.9501661129568,-54.7642956764296,-64.7588466579292
"8-3","8-3",8,3,0.1,0,-49.0943181818182,-52.9795640326975,-55.8287671232877,-50.8710493046776,-58.0947225981055,-66.2516914749662
"8-7","8-7",8,7,359.8,0,-47.2505720823799,-55.2153432032301,-59.2572214580468,-57.0330296127563,-54.3866666666667,-64.5493741307371
"8-8","8-8",8,8,0.7,0,-46.2075256556442,-57.037037037037,-61.4720670391061,-58.673839184598,-54.4632843791722,-62.9056356487549
"9-3","9-3",9,3,0.4,0,-49.3579545454545,-50.8380187416332,-55.3045267489712,-51.7405063291139,-57.1997319034853,-63.7983978638184
"9-4","9-4",9,4,0.4,0,-46.1728110599078,-53.0427586206897,-54.0929577464789,-56.415961305925,-58.2928571428571,-68.4176136363636
"9-7","9-7",9,7,0.3,0,-48.4179954441913,-52.267029972752,-60.5796897038082,-59.5220417633411,-53.9864130434783,-65.2941176470588
"9-8","9-8",9,8,0.6,0,-48.0193621867882,-52.9478609625668,-59.2638888888889,-58.8710888610763,-53.2686980609418,-67.2530779753762
